transaction_id,created_at,reporting_month,account_id,counterparty_account,transaction_group_id,transaction_type,status,amount,currency,balance_before,balance_after,regulatory_code,finalized,record_hash,prev_record_hash,metadata,_ingested_at,amount_signed,balance_delta,metadata_channel,metadata_note,created_date,created_month,monto_firmado,val_balance,val_reporting_month,val_amount,val_hash_present,val_hash_chain,val_unique_id,registro_valido,observaciones
tx000000-0000-0000-0000-000000000001,2026-01-01 08:00:00+00:00,2026-01,ACC1001,CLIENT-100,GRP-202601-01,CREDIT,COMPLETED,1000.0,USD,5000.0,6000.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,note=opening balance|channel=SYSTEM,2026-05-27T08:23:27.684281Z,1000.0,1000.0,SYSTEM,opening balance,2026-01-01,2026-01,1000.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-000000000002,2026-01-02 09:15:00+00:00,2026-01,ACC1001,VEN-9001,GRP-202601-01,DEBIT,COMPLETED,250.0,USD,6000.0,5750.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000002,hash000000000000000000000000000000000000000000000000000000000001,note=payment to vendor|channel=ACH,2026-05-27T08:23:27.684281Z,-250.0,-250.0,ACH,payment to vendor,2026-01-02,2026-01,-250.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-000000000003,2026-01-03 10:05:00+00:00,2026-01,ACC1001,CLIENT-451,GRP-202601-02,CREDIT,COMPLETED,500.0,USD,5750.0,6250.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000003,hash000000000000000000000000000000000000000000000000000000000002,note=refund from client|channel=CARD,2026-05-27T08:23:27.684281Z,500.0,500.0,CARD,refund from client,2026-01-03,2026-01,500.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-000000000004,2026-01-04 11:00:00+00:00,2026-01,ACC1001, ,GRP-202601-03,FEE,COMPLETED,5.0,USD,6250.0,6245.0,RPT02,True,hash000000000000000000000000000000000000000000000000000000000004,hash000000000000000000000000000000000000000000000000000000000003,note=monthly fee|channel=SYSTEM,2026-05-27T08:23:27.684281Z,-5.0,-5.0,SYSTEM,monthly fee,2026-01-04,2026-01,-5.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-000000000006,2026-01-06 13:45:00+00:00,2026-01,ACC1002,MERCH-202,GRP-202601-11,DEBIT,COMPLETED,85.5,USD,4200.0,4114.5,RPT01,True,hash000000000000000000000000000000000000000000000000000000000006,hash000000000000000000000000000000000000000000000000000000000005,note=POS purchase|merchant_category=Retail,2026-05-27T08:23:27.684281Z,-85.5,-85.5,,POS purchase,2026-01-06,2026-01,-85.5,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-000000000008,2026-01-08 15:30:00+00:00,2026-01,ACC1003,CLIENT-333,GRP-202601-21,CREDIT,COMPLETED,150.0,USD,1955.0,2105.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000008,hash000000000000000000000000000000000000000000000000000000000007,note=salary deposit|employer=ACME Corp,2026-05-27T08:23:27.684281Z,150.0,150.0,,salary deposit,2026-01-08,2026-01,150.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-00000000000A,2026-01-10 09:00:00+00:00,2026-01,ACC1005,CLIENT-555,GRP-202601-31,CREDIT,COMPLETED,300.0,USD,1500.0,1800.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000A,hash000000000000000000000000000000000000000000000000000000000009,note=client refund|channel=CARD,2026-05-27T08:23:27.684281Z,300.0,300.0,CARD,client refund,2026-01-10,2026-01,300.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-00000000000B,2026-01-11 10:10:00+00:00,2026-01,ACC1005,MERCH-303,GRP-202601-32,DEBIT,COMPLETED,60.0,USD,1800.0,1740.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000B,hash00000000000000000000000000000000000000000000000000000000000A,note=groceries|merchant_category=Food,2026-05-27T08:23:27.684281Z,-60.0,-60.0,,groceries,2026-01-11,2026-01,-60.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-00000000000D,2026-01-13 12:35:00+00:00,2026-01,ACC1006, ,GRP-202601-41,DEBIT,COMPLETED,30.0,USD,650.0,620.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000D,hash00000000000000000000000000000000000000000000000000000000000C,note=small purchase|channel=CARD,2026-05-27T08:23:27.684281Z,-30.0,-30.0,CARD,small purchase,2026-01-13,2026-01,-30.0,True,True,True,True,True,True,True,Registro válido
tx000000-0000-0000-0000-00000000000F,2026-01-15 14:55:00+00:00,2026-01,ACC1007,MERCH-404,GRP-202601-51,DEBIT,COMPLETED,75.25,USD,1100.0,1024.75,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000F,hash00000000000000000000000000000000000000000000000000000000000E,note=online purchase|merchant_category=Tech,2026-05-27T08:23:27.684281Z,-75.25,-75.25,,online purchase,2026-01-15,2026-01,-75.25,True,True,True,True,True,True,True,Registro válido
