transaction_id,created_at,reporting_month,account_id,counterparty_account,transaction_group_id,transaction_type,status,amount,currency,balance_before,balance_after,regulatory_code,finalized,record_hash,prev_record_hash,metadata
tx000000-0000-0000-0000-000000000001,2026-01-01T08:00:00Z,2026-01,ACC1001,CLIENT-100,GRP-202601-01,CREDIT,COMPLETED,1000.00,USD,5000.00,6000.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,note=opening balance|channel=SYSTEM
tx000000-0000-0000-0000-000000000002,2026-01-02T09:15:00Z,2026-01,ACC1001,VEN-9001,GRP-202601-01,DEBIT,COMPLETED,250.00,USD,6000.00,5750.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000002,hash000000000000000000000000000000000000000000000000000000000001,note=payment to vendor|channel=ACH
tx000000-0000-0000-0000-000000000003,2026-01-03T10:05:00Z,2026-01,ACC1001,CLIENT-451,GRP-202601-02,CREDIT,COMPLETED,500.00,USD,5750.00,6250.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000003,hash000000000000000000000000000000000000000000000000000000000002,note=refund from client|channel=CARD
tx000000-0000-0000-0000-000000000004,2026-01-04T11:00:00Z,2026-01,ACC1001, ,GRP-202601-03,FEE,COMPLETED,5.00,USD,6250.00,6245.00,RPT02,True,hash000000000000000000000000000000000000000000000000000000000004,hash000000000000000000000000000000000000000000000000000000000003,note=monthly fee|channel=SYSTEM
tx000000-0000-0000-0000-000000000005,2026-01-05T12:30:00Z,2026-01,ACC1002,CLIENT-771,GRP-202601-10,CREDIT,COMPLETED,1200.00,USD,3000.00,4200.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000005,0000000000000000000000000000000000000000000000000000000000000000,note=payment received|channel=CARD
tx000000-0000-0000-0000-000000000006,2026-01-06T13:45:00Z,2026-01,ACC1002,MERCH-202,GRP-202601-11,DEBIT,COMPLETED,85.50,USD,4200.00,4114.50,RPT01,True,hash000000000000000000000000000000000000000000000000000000000006,hash000000000000000000000000000000000000000000000000000000000005,note=POS purchase|merchant_category=Retail
tx000000-0000-0000-0000-000000000007,2026-01-07T14:20:00Z,2026-01,ACC1003,CLIENT-222,GRP-202601-20,DEBIT,COMPLETED,45.00,USD,2000.00,1955.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000007,0000000000000000000000000000000000000000000000000000000000000000,note=subscription payment|plan=basic
tx000000-0000-0000-0000-000000000008,2026-01-08T15:30:00Z,2026-01,ACC1003,CLIENT-333,GRP-202601-21,CREDIT,COMPLETED,150.00,USD,1955.00,2105.00,RPT01,True,hash000000000000000000000000000000000000000000000000000000000008,hash000000000000000000000000000000000000000000000000000000000007,note=salary deposit|employer=ACME Corp
tx000000-0000-0000-0000-000000000009,2026-01-09T16:40:00Z,2026-01,ACC1004,MERCH-777,GRP-202601-30,DEBIT,COMPLETED,99.99,USD,800.00,700.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000009,0000000000000000000000000000000000000000000000000000000000000000,note=e-commerce purchase|merchant_category=E-commerce
tx000000-0000-0000-0000-00000000000A,2026-01-10T09:00:00Z,2026-01,ACC1005,CLIENT-555,GRP-202601-31,CREDIT,COMPLETED,300.00,USD,1500.00,1800.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000A,hash000000000000000000000000000000000000000000000000000000000009,note=client refund|channel=CARD
tx000000-0000-0000-0000-00000000000B,2026-01-11T10:10:00Z,2026-01,ACC1005,MERCH-303,GRP-202601-32,DEBIT,COMPLETED,60.00,USD,1800.00,1740.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000B,hash00000000000000000000000000000000000000000000000000000000000A,note=groceries|merchant_category=Food
tx000000-0000-0000-0000-00000000000C,2026-01-12T11:25:00Z,2026-01,ACC1006,CLIENT-888,GRP-202601-40,CREDIT,COMPLETED,450.00,USD,200.00,650.00,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000C,0000000000000000000000000000000000000000000000000000000000000000,note=refund|channel=PAYPAL
